Variable_1,Variable_2,FDR,Copies
X98P.GNAT_acetyltran,arcC,0.00788298008768222,4
X105P.RES,arcC,0.000344749142774145,26
X46P.RES,glxR,0.000233075837200506,26
X98P.GNAT_acetyltran,glxR,0.00687273869042822,4
X105P.RES,glxR,0.000233075837200506,26
X46P.RES,ylbF,0.000344749142774145,26
X98P.GNAT_acetyltran,ylbF,0.00788298008768222,4
X105P.RES,ylbF,0.000344749142774145,26
X46P.RES,KP1_1371,0.000344749142774145,26
X98P.GNAT_acetyltran,KP1_1371,0.00788298008768222,4
X105P.RES,KP1_1371,0.000344749142774145,26
X46P.RES,hyi,8.23211469267412e-05,26
X105P.RES,hyi,8.23211469267412e-05,26
X6P.PIN,ybtQ,0.00867002576621269,139
X46P.RES,ybtQ,4.69663391991376e-06,26
X51P.PIN,ybtQ,0.00158040820915206,10
X105P.RES,ybtQ,4.69663391991376e-06,26
X6P.PIN,ybtP,0.00867002576621269,139
X46P.RES,ybtP,4.69663391991376e-06,26
X51P.PIN,ybtP,0.00158040820915206,10
X105P.RES,ybtP,4.69663391991376e-06,26
X46P.RES,ybtE,3.18110857673285e-05,26
X51P.PIN,ybtE,0.00139784904476423,10
X105P.RES,ybtE,3.18110857673285e-05,26
X6P.PIN,ybtS,0.00867002576621269,139
X46P.RES,ybtS,4.69663391991376e-06,26
X51P.PIN,ybtS,0.00158040820915206,10
X105P.RES,ybtS,4.69663391991376e-06,26
X46P.RES,ybtX,2.42633280946784e-05,26
X105P.RES,ybtX,2.42633280946784e-05,26
X46P.RES,irp2,0.000320936805520484,26
X105P.RES,irp2,0.000320936805520484,26
X6P.PIN,ybtU,0.00867002576621269,139
X46P.RES,ybtU,4.69663391991376e-06,26
X51P.PIN,ybtU,0.00158040820915206,10
X105P.RES,ybtU,4.69663391991376e-06,26
X46P.RES,ybtA,3.18110857673285e-05,26
X51P.PIN,ybtA,0.00139784904476423,10
X105P.RES,ybtA,3.18110857673285e-05,26
X6P.PIN,ybtT,0.00867002576621269,139
X46P.RES,ybtT,4.69663391991376e-06,26
X51P.PIN,ybtT,0.00158040820915206,10
X105P.RES,ybtT,4.69663391991376e-06,26
X48P.CcdB,Aac3_IIa_AGly.match,2.01902257457349e-07,57
X27P.Gp49,AacAad_AGly_3.match,0.000344749142774145,103
X27P.Gp49,AadA_AGly.match,0.0009270793775511,103
X40P.DUF4111.NTP_transf_2,AadA_AGly.match,2.13841521283443e-11,21
X50P.HD_3,AadA_AGly.match,0.000766332366082896,10
X67P.Gp49,AadA_AGly.match,4.58474317148044e-05,12
X27P.Gp49,AadA_AGly_2.match,0.00153094830067224,103
X40P.DUF4111.NTP_transf_2,AadA_AGly_2.match,7.6665515693287e-16,21
X50P.HD_3,AadA_AGly_2.match,0.0018134138752798,10
X50P.HD_3,AadB_AGly.match,5.17750908006857e-05,10
X60P.DUF955,AadB_AGly.match,0.00555663784060627,8
X67P.Gp49,AadB_AGly.match,2.54049585041649e-07,12
X50P.HD_3,RmtB_AGly.match,0.000109036805258325,10
X60P.DUF955,RmtB_AGly.match,0.00174847103589998,8
X67P.Gp49,RmtB_AGly.match,2.13092130184198e-08,12
X1P.ParE_toxin,OqxA_Flq.match,2.61677570476834e-07,229
X3P.Fic,OqxA_Flq.match,3.10866333586306e-08,240
X5P.PIN,OqxA_Flq.match,9.06466578379993e-12,236
X30P.Gp49,OqxA_Flq.match,0.00664512667552218,156
X62P.AntA.Bro.N,OqxA_Flq.match,0.00400376181413005,36
X2P.ParE_toxin,Qnr_A_Flq.match,0.00643399582910437,22
X20P.HipA_C,Qnr_A_Flq.match,0.000975034914125158,7
X27P.Gp49,CatBx_Phe.match,0.00172324041226097,103
X91P.AntA,CatBx_Phe.match,0.00484097311936274,6
X50P.HD_3,CmlA_Phe.match,0.000855293546387781,10
X60P.DUF955,CmlA_Phe.match,0.00416758923032091,8
X67P.Gp49,CmlA_Phe.match,5.97561502417412e-06,12
X50P.HD_3,FloR_Phe.match,1.76314447044615e-06,10
X67P.Gp49,FloR_Phe.match,1.69653745171372e-09,12
X40P.DUF4111.NTP_transf_2,SulIII_Sul.match,0.00169759353139273,21
X40P.DUF4111.NTP_transf_2,SulII_Sul.match,6.27375283403187e-05,21
X50P.HD_3,SulII_Sul.match,0.0023012306140828,10
X67P.Gp49,SulII_Sul.match,0.000192862033604327,12
X27P.Gp49,SulI_Sul.match,0.00169759353139273,103
X40P.DUF4111.NTP_transf_2,SulI_Sul.match,2.9892294041051e-05,21
X40P.DUF4111.NTP_transf_2,TetA_Tet.match,0.00227901100624478,21
X50P.HD_3,TetA_Tet.match,0.000120955690297357,10
X67P.Gp49,TetA_Tet.match,4.08947838424679e-06,12
X50P.HD_3,TetG_Tet.match,1.02162967510152e-07,10
X60P.DUF955,TetG_Tet.match,0.00555663784060627,8
X67P.Gp49,TetG_Tet.match,1.04577481731294e-11,12
X50P.HD_3,TetRG_Tet.match,1.02162967510152e-07,10
X60P.DUF955,TetRG_Tet.match,0.00555663784060627,8
X67P.Gp49,TetRG_Tet.match,1.04577481731294e-11,12
X40P.DUF4111.NTP_transf_2,TetR_Tet.match,0.00292773868755559,21
X50P.HD_3,TetR_Tet.match,0.000145748546675207,10
X67P.Gp49,TetR_Tet.match,5.04001996434101e-06,12
X44P.ParE_toxin,Arr_Rif.match,0.00553703286466532,19
X50P.HD_3,Arr_Rif.match,0.000855293546387781,10
X60P.DUF955,Arr_Rif.match,0.00416758923032091,8
X67P.Gp49,Arr_Rif.match,5.97561502417412e-06,12
X50P.HD_3,Dfr23_Tmt.match,0.000109036805258325,10
X60P.DUF955,Dfr23_Tmt.match,0.00174847103589998,8
X67P.Gp49,Dfr23_Tmt.match,2.13092130184198e-08,12
X86P.Phage_pRha,DfrA5_Tmt_1.match,0.000683784340374138,12
X6P.PIN,DfrA_Tmt_1.match,0.00911682972478593,139
X27P.Gp49,DfrA_Tmt_1.match,0.00528590683747319,103
X40P.DUF4111.NTP_transf_2,DfrA_Tmt_1.match,1.27351266380052e-23,21
X81P.HD,DfrA_Tmt_1.match,0.00947789850122944,24
X40P.DUF4111.NTP_transf_2,MefB_MLS.match,0.00416059326904498,21
X40P.DUF4111.NTP_transf_2,MphA_MLS.match,1.68431771515998e-11,21
X50P.HD_3,CARB_Bla.match,0.00523422220686773,10
X67P.Gp49,CARB_Bla.match,0.00867002576621269,12
X67P.Gp49,CTX_M_1_Bla.match,0.000766332366082896,12
X101P.PemK_toxin,CTX_M_1_Bla.match,0.00409699545374119,20
X27P.Gp49,OXA_1_Bla.match,0.00263078764928245,103
X50P.HD_3,OXA_7_Bla.match,1.01788462227374e-05,10
X60P.DUF955,OXA_7_Bla.match,0.00555663784060627,8
X67P.Gp49,OXA_7_Bla.match,4.17123674893593e-09,12
X62P.AntA.Bro.N,SHV_OKP_LEN_Bla_2.match,0.000720759035136627,36
X70P.Gp49,SHV_OKP_LEN_Bla_2.match,3.19902586631228e-10,40
X77P.Gp49,SHV_OKP_LEN_Bla_2.match,2.00500957668691e-10,39
X98P.GNAT_acetyltran,SHV_OKP_LEN_Bla_2.match,0.00221073736360724,4
X124P.Fic,SHV_OKP_LEN_Bla_2.match,0.00892013049283882,5
X40P.DUF4111.NTP_transf_2,TEM_1D_Bla.match,0.00141891413837465,21
X67P.Gp49,TEM_1D_Bla.match,0.0041559913466089,12
X50P.HD_3,VEB_1_Bla.match,1.01788462227374e-05,10
X60P.DUF955,VEB_1_Bla.match,0.00555663784060627,8
X67P.Gp49,VEB_1_Bla.match,4.17123674893593e-09,12
X23P.ParE_toxin,ColRNAI.match,2.89329966663747e-18,16
X44P.ParE_toxin,ColRNAI.match,2.69481320036463e-23,19
X50P.HD_3,IncA_C..match,1.91227395165794e-13,10
X67P.Gp49,IncA_C..match,1.14760044880138e-17,12
X101P.PemK_toxin,IncFI..match,1.30230463996946e-11,20
X27P.Gp49,IncFIB_K_.match,1.64688292592294e-13,103
X29P.NTP_transf_2,IncFIB_K_.match,0.00436752035528983,27
X41P.ParE_toxin,IncFIB_K_.match,0.00736203152811614,15
X95P.ParE_toxin,IncFIB_K_.match,0.000526315948825031,42
X95P.ParE_toxin,IncFIB_Mar_.match,0.00179265076989776,42
X154P.HigB.like_toxin,IncFIB_Mar_.match,2.68677972826065e-08,6
X27P.Gp49,IncFII.match,1.16687062221776e-08,103
X27P.Gp49,IncFII_K_.match,2.83959786697493e-16,103
X13P.RES,IncHI1B.match,1.3895721166182e-06,70
