Variable_1,Variable_2,FDR,Copies
X20H.DUF4111.NTP_transf_2,DfrA_Tmt_1.match,6.27735871088778e-17,30
X20H.DUF4111.NTP_transf_2,MphA_MLS.match,7.07791937353135e-09,30
X24H.Gp49,CARB_Bla.match,0.00792550245088475,12
X72H.HD_3,CARB_Bla.match,0.00478258951883652,10
X24H.Gp49,CTX_M_1_Bla.match,0.000717467043144412,12
X14H.Gp49,OXA_1_Bla.match,0.00241669217680138,103
X24H.Gp49,OXA_7_Bla.match,4.1347511973258e-09,12
X71H.DUF955,OXA_7_Bla.match,0.00502116267168394,8
X72H.HD_3,OXA_7_Bla.match,9.3030053572643e-06,10
X21H.PIN,SHV_OKP_LEN_Bla_2.match,9.72860295857528e-21,237
X25H.Gp49,SHV_OKP_LEN_Bla_2.match,3.47424570298894e-10,40
X37H.AntA.Bro.N,SHV_OKP_LEN_Bla_2.match,0.000717584446114434,37
X64H.Fic,SHV_OKP_LEN_Bla_2.match,0.00820931401413725,5
X20H.DUF4111.NTP_transf_2,TEM_1D_Bla.match,0.000248597802470074,30
X24H.Gp49,TEM_1D_Bla.match,0.00385556243145128,12
X24H.Gp49,VEB_1_Bla.match,4.1347511973258e-09,12
X71H.DUF955,VEB_1_Bla.match,0.00502116267168394,8
X72H.HD_3,VEB_1_Bla.match,9.3030053572643e-06,10
X44H.ParE_toxin,ColRNAI.match,3.46008403979727e-23,19
X75H.Phage_pRha,Col_MGD2_.match,0.00478258951883652,10
X24H.Gp49,IncA_C..match,1.16897276485193e-17,12
X72H.HD_3,IncA_C..match,1.89964226776674e-13,10
X2H.PemK_toxin,IncFI..match,4.25981648972711e-06,64
X14H.Gp49,IncFIB_K_.match,1.65355046813315e-13,103
X57H.NTP_transf_2,IncFIB_K_.match,0.00404604102057525,27
X62H.ParE_toxin,IncFIB_K_.match,0.000487135809021897,42
X41H.HigB.like_toxin,IncFIB_Mar_.match,1.5505743399211e-07,7
X62H.ParE_toxin,IncFIB_Mar_.match,0.00163825504780567,42
X14H.Gp49,IncFII.match,1.11091542278977e-08,103
X14H.Gp49,IncFII_K_.match,2.55218917598556e-16,103
X3H.RES,IncHI1B.match,1.25817847788085e-06,70
X35H.HigB_toxin,IncHI1B.match,2.89570863087453e-07,59
X52H.ParE_toxin,IncHI2.match,0.00164940270614859,22
X60H.HipA_C,IncHI2.match,7.71914655171482e-09,8
X60H.HipA_C,IncHI2A.match,5.73892624932754e-07,8
X2H.PemK_toxin,IncL_M_pMU407_.match,0.00747029015328331,64
