Variable_1,Variable_2,FDR,Copies
X72H_50P,TetG_Tet.match,1.76069051394214e-07,10
X60P_71H,TetG_Tet.match,0.00752131222912213,8
X24H_67P,TetRG_Tet.match,1.84687442699544e-11,12
X72H_50P,TetRG_Tet.match,1.76069051394214e-07,10
X60P_71H,TetRG_Tet.match,0.00752131222912213,8
X24H_67P,TetR_Tet.match,8.4180576367971e-06,12
X72H_50P,TetR_Tet.match,0.000216568743463259,10
X40P_20H,TetR_Tet.match,0.00401458531339373,21
X24H_67P,Arr_Rif.match,9.92840752505408e-06,12
X72H_50P,Arr_Rif.match,0.00127927505581631,10
X60P_71H,Arr_Rif.match,0.00569241661920228,8
X24H_67P,Dfr23_Tmt.match,3.74081717506181e-08,12
X72H_50P,Dfr23_Tmt.match,0.000160625523409281,10
X60P_71H,Dfr23_Tmt.match,0.00256192706225429,8
X55H_86P,DfrA5_Tmt_1.match,0.00104317144529984,12
X14H_27P,DfrA_Tmt_1.match,0.0071619312720802,103
X40P_20H,DfrA_Tmt_1.match,2.33692151768253e-23,21
X6P_4H,DfrA_Tmt_1.match,0.000981208854873961,123
X40P_20H,MefB_MLS.match,0.00569051394129194,21
X40P_20H,MphA_MLS.match,2.99105526079246e-11,21
X72H_50P,CARB_Bla.match,0.00709641980013278,10
X101P_2H,CTX_M_1_Bla.match,2.30073672315817e-05,11
X24H_67P,CTX_M_1_Bla.match,0.00115898522354097,12
X14H_27P,OXA_1_Bla.match,0.0036232347635776,103
X101P_2H,OXA_1_Bla.match,0.00115898522354097,11
X24H_67P,OXA_7_Bla.match,6.97739264548729e-09,12
X72H_50P,OXA_7_Bla.match,1.69229011926551e-05,10
X60P_71H,OXA_7_Bla.match,0.00752131222912213,8
X70P_25H_77P,SHV_OKP_LEN_Bla_2.match,3.36387031813384e-10,39
X58P_18H_21P,SHV_OKP_LEN_Bla_2.match,9.30117213499602e-05,69
X98P_22H_8P,SHV_OKP_LEN_Bla_2.match,0.00308194202600356,4
X124P_64H,SHV_OKP_LEN_Bla_2.match,0.00308194202600356,4
X7P_16H,SHV_OKP_LEN_Bla_2.match,9.30117213499602e-05,82
X24H_67P,TEM_1D_Bla.match,0.00568807538942303,12
X40P_20H,TEM_1D_Bla.match,0.00207884161855087,21
X24H_67P,VEB_1_Bla.match,6.97739264548729e-09,12
X72H_50P,VEB_1_Bla.match,1.69229011926551e-05,10
X60P_71H,VEB_1_Bla.match,0.00752131222912213,8
X44P_44H_23P,ColRNAI.match,5.00587697383612e-18,16
X24H_67P,IncA_C..match,1.94828794141988e-17,12
X72H_50P,IncA_C..match,3.15815527016221e-13,10
X101P_2H,IncFI..match,3.67633463728794e-16,11
X14H_27P,IncFIB_K_.match,2.74531776440055e-13,103
X95P_62H_41P,IncFIB_K_.match,0.0097396228601862,15
X57H_29P,IncFIB_K_.match,0.00596151590028724,27
X41H_154P,IncFIB_Mar_.match,4.62406567472918e-08,6
X95P_62H,IncFIB_Mar_.match,0.000108192050775006,26
X14H_27P,IncFII.match,2.02068779504462e-08,103
X14H_27P,IncFII_K_.match,4.46633105797474e-16,103
X35H_14P,IncHI1B.match,5.15798099874526e-07,59
X13P_3H,IncHI1B.match,0.0033146919687201,57
X20P_60H,IncHI2.match,1.96536439539847e-09,7
X2P_52H,IncHI2.match,0.00264039629926901,22
X20P_60H,IncHI2A.match,2.81687671752334e-07,7
X101P_2H_146P,IncL_M..match,4.31132046331213e-05,8
X101P_2H_146P,IncL_M_pMU407_.match,1.41442008874069e-08,8
